Cryptobacterium curtum
Cryptococcus
Cryptococcus gastricus
Cryptococcus gattii
Cryptococcus neoformans
Cryptococcus terreus
Cryptococcus uniguttulatus
Cryptosporidium
Cryptosporidium hominis
Cryptosporidium parvum
Cunninghamella
Cunninghamella bertholletiae
Cupriavidus
Cupriavidus basilensis
Cupriavidus gilardii
Cupriavidus metallidurans
Cupriavidus necator
Cupriavidus pauculus
Cupriavidus respiraculi
Curtobacterium
Curtobacterium albidum
Curvularia
Curvularia geniculata
Curvularia lunata
Cutibacterium
Cutibacterium acnes
Cutibacterium avidum
Cutibacterium granulosum
Cyberlindnera fabianii
Cyclospora
Cyclospora cayetanensis
Cysticercus
Debaryomyces
Debaryomyces hansenii
Deinococcus
Delftia
Delftia acidovorans
Dengue virus
Dermabacter
Dermabacter hominis
Dermacoccus
Dermacoccus nishinomiyaensis
Dermatophilus
Dermatophilus congolensis
Desulfomonas
Desulfovibrio
Desulfovibrio desulfuricans
Desulfovibrio piger
Desulfovibrio vulgaris
Dialister
Dialister micraerophilus
Dialister pneumosintes
Dichelobacter
Dichelobacter nodosus
Dientamoeba
Dientamoeba fragilis
Dietzia
Dietzia cinnamea
Diphtheroids
"Diphtheroids, aerobic"
"Diphtheroids, anaerobic"
Diphyllobothrium
Dipylidium
Dolosicoccus
Dolosicoccus paucivorans
Dolosigranulum
Dolosigranulum pigrum
Dorea
Dorea formicigenerans
Dorea longicatena
Drechslera
Dyella
Dysgonomonas
Dysgonomonas capnocytophagoides
Dysgonomonas gadei
Eastern equine encephalitis virus
Ebolavirus
Echinococcus
Edwardsiella
Edwardsiella hoshinae
Edwardsiella ictaluri
Edwardsiella tarda
Eggerthella
Eggerthella lenta
Eggerthia
Eggerthia catenaformis
Ehrlichia
Eikenella
Eikenella corrodens
Elizabethkingia
Elizabethkingia meningoseptica
Empedobacter
Empedobacter brevis
Endolimax
Endolimax nana
Entamoeba
Entamoeba coli
Entamoeba dispar
Entamoeba gingivalis
Entamoeba hartmanni
Entamoeba histolytica
Entamoeba histolytica/dispar
Entamoeba polecki
Enterobacter
Enterobacter asburiae
Enterobacter cancerogenus
Enterobacter cloacae
Enterobacter cloacae complex
Enterobacter cloacae dissolvens
Enterobacter hormaechei
Enterobacter kobei
Enterobacter ludwigii
Enterobacteriaceae
Enterobius
Enterococcus
Enterococcus asini
Enterococcus avium
Enterococcus canis
Enterococcus casseliflavus
Enterococcus cecorum
Enterococcus dispar
Enterococcus durans
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterococcus gilvus
Enterococcus haemoperoxidus
Enterococcus hermanniensis
Enterococcus hirae
Enterococcus italicus
Enterococcus malodoratus
Enterococcus moraviensis
Enterococcus mundtii
Enterococcus pallens
Enterococcus phoeniculicola
Enterococcus pseudoavium
Enterococcus raffinosus
Enterococcus ratti
Enterococcus saccharolyticus
Enterococcus sulfureus
Enterococcus villorum
Enterocytozoon
"Enterohemorrhagic Escherichia coli, serotype O157:H7"
Enteromonas
Enteromonas hominis
Enteropathogenic Escherichia coli
Enterovirus
Epicoccum
Epidermophyton
Erwinia
Erwinia persicina
Erysipelothrix
Erysipelothrix inopinata
Erysipelothrix rhusiopathiae
Erysipelothrix tonsillarum
Escherichia
Escherichia albertii
Escherichia coli
Escherichia fergusonii
Escherichia hermannii
Eubacterium
Eubacterium barkeri
Eubacterium biforme
Eubacterium brachy
Eubacterium callanderi
Eubacterium eligens
Eubacterium hallii
Eubacterium infirmum
Eubacterium limosum
Eubacterium minutum
Eubacterium nodatum
Eubacterium ramulus
Eubacterium saburreum
Eubacterium saphenum
Eubacterium siraeum
Eubacterium sulci
Eubacterium tenue
Eubacterium ventriosum
Eubacterium yurii
Ewingella
Ewingella americana
Exiguobacterium
Exiguobacterium acetylicum
Exophiala
Exophiala bergeri
Exophiala jeanselmei
Exophiala spinifera
Exserohilum
Exserohilum rostratum
Extended spectrum beta-lactamase producing Citrobacter freundii
Extended spectrum beta-lactamase producing Enterobacter cloacae
Extended spectrum beta-lactamase producing Escherichia coli
Extended spectrum beta-lactamase producing Klebsiella oxytoca
Extended spectrum beta-lactamase producing Klebsiella pneumoniae
Extended spectrum beta-lactamase producing Proteus mirabilis
Extended spectrum beta-lactamase producing Shigella sonnei
Facklamia
Facklamia hominis
Facklamia ignava
Facklamia languida
Facklamia sourekii
Facklamia tabacinasalis
Faecalibacterium
Faecalibacterium prausnitzii
Filifactor
Filifactor alocis
Filifactor villosus
Finegoldia
Finegoldia magna
Flavivirus
Flavobacterium
Flavobacterium devorans
